Timestamp,SensorValue
2025-07-18 23:37:35,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:37,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:39,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:41,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:43,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:45,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:47,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:49,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:51,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:53,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:55,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:57,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:37:59,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:38:01,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:38:03,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:38:05,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:38:08,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:38:10,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:38:12,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:38:14,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:38:16,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:38:18,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:38:20,Temperature: 27.60°C  |  Humidity: 73.00%
2025-07-18 23:38:22,Temperature: 27.70°C  |  Humidity: 81.00%
2025-07-18 23:38:24,Temperature: 28.50°C  |  Humidity: 87.00%
2025-07-18 23:38:26,Temperature: 28.00°C  |  Humidity: 80.00%
2025-07-18 23:38:28,Temperature: 28.00°C  |  Humidity: 77.00%
2025-07-18 23:38:30,Temperature: 28.00°C  |  Humidity: 75.00%
2025-07-18 23:38:32,Temperature: 28.00°C  |  Humidity: 74.00%
2025-07-18 23:38:34,Temperature: 28.00°C  |  Humidity: 73.00%
2025-07-18 23:38:36,Temperature: 28.00°C  |  Humidity: 73.00%
2025-07-18 23:38:38,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:38:40,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:38:42,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:38:44,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:38:46,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:38:48,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:38:50,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:38:52,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:38:54,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:38:56,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:38:58,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:00,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:02,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:04,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:06,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:08,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:10,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:12,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:14,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:16,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:18,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:20,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:22,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:24,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:27,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:29,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:31,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:33,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:35,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:37,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:39,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:41,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:43,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:45,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:47,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:49,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:51,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:53,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:55,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:57,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:39:59,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:40:01,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:40:03,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:40:05,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:40:07,Temperature: 28.00°C  |  Humidity: 72.00%
2025-07-18 23:40:09,Temperature: 28.00°C  |  Humidity: 72.00%
